Gene	full_length	coding_length	GC	CpG	RepliSeq_ENCFF001GNK_GM12878	RepliSeq_ENCFF001GNN_GM12878	RepliSeq_ENCFF001GOW_HeLa-S3	RepliSeq_ENCFF001GRX_K562	RepliSeq_ENCFF001GOA_GM12878	RepliSeq_ENCFF001GSJ_K562	RepliSeq_ENCFF001GSP_K562	RepliSeq_ENCFF001GTK_MCF-7	RepliSeq_ENCFF001GNT_GM12878	RepliSeq_ENCFF001GNR_GM12878	RepliSeq_ENCFF001GNX_GM12878	RepliSeq_ENCFF001GSN_K562	RepliSeq_ENCFF001GSB_K562	RepliSeq_ENCFF001GTH_MCF-7	RepliSeq_ENCFF001GSX_MCF-7	RepliSeq_ENCFF001GSF_K562	RepliSeq_ENCFF001GON_HeLa-S3	RepliSeq_ENCFF001GOQ_HeLa-S3	RepliSeq_ENCFF001GOS_HeLa-S3	RepliSeq_ENCFF001GOJ_HeLa-S3	RepliSeq_ENCFF001GTD_MCF-7	RepliSeq_ENCFF001GTF_MCF-7	RepliSeq_ENCFF001GSV_MCF-7
AADACL2	4.57609882078	0.266636642514	0.397	0.340	3.500	1.500	4.500	10.800	4.900	34.643	13.583	19.571	45.500	15.357	29.214	33.833	2.500	36.364	6.500	7.000	20.286	44.833	19.167	3.500	8.000	23.000	6.000
AADACL3	3.65638195721	0.288063200325	0.513	0.312	7.000	1.333	4.500	35.909	1.500	8.000	1.000	1.500	45.857	38.111	6.500	1.000	3.600	4.667	5.500	51.625	30.000	41.500	15.500	4.000	41.429	26.400	21.000
AADACL4	4.49390347158	0.288063200325	0.510	0.390	12.000	2.000	3.500	52.667	2.000	4.000	3.400	1.000	33.538	49.556	1.500	4.000	4.000	3.500	7.400	32.182	42.333	23.286	5.500	4.500	41.300	14.250	32.733
AADAT	4.91485150325	0.364012053559	0.416	0.288	1.500	5.000	20.312	4.800	23.500	16.882	38.278	30.875	16.923	2.500	51.353	31.222	3.571	38.929	7.889	5.100	2.500	22.111	47.273	3.800	3.800	12.000	6.143
AAED1	3.81424277978	-0.560642821526	0.538	0.814	7.000	4.400	2.200	24.833	4.000	24.600	1.667	2.500	32.000	4.833	47.571	2.250	7.000	14.667	6.667	38.308	40.333	16.833	2.500	6.400	28.333	37.571	10.000
AAGAB	5.76881950018	-0.0816137655537	0.453	0.229	28.879	5.000	3.167	30.929	1.333	15.433	3.571	1.500	12.304	51.429	1.500	2.333	1.600	4.750	8.818	47.433	44.818	14.455	3.100	6.556	41.000	16.000	29.700
AAK1	7.53800264064	1.52757083683	0.522	0.283	66.024	8.186	2.190	31.159	1.286	7.203	3.235	2.286	3.429	24.000	1.000	3.267	4.152	3.677	6.727	54.081	45.043	13.000	2.333	5.091	41.156	14.633	31.307
AAMDC	6.31600088612	-0.657445254523	0.479	0.112	26.974	4.467	4.167	36.489	1.333	3.300	3.688	1.667	15.095	50.643	1.250	4.071	3.875	2.700	6.769	48.200	33.259	17.667	2.500	5.333	46.139	12.077	30.605
AAMP	2.60430858953	0.384049806795	0.587	0.352	43.000	6.500	3.000	74.833	1.000	2.000	2.500	2.000	5.400	43.000	1.000	2.667	5.800	3.500	6.333	11.500	31.500	6.500	1.667	6.000	19.000	5.000	64.500
AANAT	4.06755267572	-0.403541860441	0.655	0.508	75.429	10.857	3.333	71.455	1.000	2.000	2.000	1.500	1.000	11.500	1.000	1.667	6.000	2.500	7.000	17.833	17.000	3.000	1.000	8.500	15.286	4.400	69.500
AAR2	4.35931031689	0.20414071678	0.569	0.332	17.375	2.500	2.000	25.091	1.000	18.500	2.500	1.500	27.000	53.700	1.000	3.500	6.167	3.500	8.500	44.444	49.167	27.111	3.000	3.667	31.000	9.000	47.800
AARD	2.53007074223	-1.10469737867	0.634	0.863	12.167	3.600	4.000	17.667	6.333	20.333	9.600	2.400	36.500	25.500	15.667	23.200	4.000	15.500	7.500	25.000	35.800	20.000	6.000	6.000	25.500	36.500	12.500
AARS	5.21396933415	1.53804145333	0.532	0.407	70.882	12.684	1.500	72.158	1.500	1.500	1.571	1.500	1.667	12.000	2.000	1.429	9.333	3.500	7.000	17.136	14.667	3.000	1.500	6.500	12.385	2.700	71.667
AARS2	3.86799527534	1.5631581304	0.617	0.385	39.167	5.800	2.000	36.000	1.000	8.800	4.333	2.333	7.500	45.143	2.000	3.000	4.500	3.500	4.500	45.300	43.800	12.500	3.000	4.500	31.000	11.000	47.000
AARSD1	3.8045698952	0.305678743242	0.540	0.378	61.429	6.200	3.000	70.143	1.375	1.000	4.000	2.000	1.333	29.111	2.000	1.500	2.500	3.500	7.143	20.800	29.571	6.500	2.400	5.500	22.286	6.500	59.125
AASDH	5.62128999254	1.78492270156	0.402	0.245	6.600	2.400	7.545	7.867	8.556	40.079	1.500	13.059	26.529	5.083	50.808	5.923	8.684	30.640	7.273	36.156	18.500	24.688	20.962	5.250	15.579	25.429	8.000
AASDHPPT	4.40108430151	-0.109358756037	0.434	0.555	2.333	4.667	7.000	8.167	35.857	1.000	58.182	31.417	11.600	1.000	44.700	14.667	18.364	5.800	55.875	1.000	10.889	37.200	32.727	6.000	1.000	1.500	4.600
AASS	6.14459706719	1.47404659932	0.442	0.275	2.545	14.875	19.381	7.762	45.395	2.667	46.578	33.944	5.611	1.500	31.068	9.857	31.405	21.643	34.435	2.857	10.833	24.350	28.857	11.348	2.200	4.231	4.267
AATF	6.75484742674	0.748461233004	0.502	0.387	14.176	1.875	2.333	18.588	1.714	22.440	2.588	1.500	27.833	54.075	1.733	2.867	4.368	4.524	7.808	49.083	41.000	26.448	4.095	5.118	39.105	17.842	30.344
AATK	5.60812912366	2.04334450488	0.685	0.639	27.000	3.900	2.556	56.458	1.400	4.385	6.357	1.500	18.846	47.267	1.500	3.000	5.200	1.500	7.700	23.810	18.000	2.500	2.500	6.800	12.833	4.000	71.455
ABAT	6.78121543681	0.584962500721	0.549	0.514	23.178	2.941	3.222	27.121	1.400	19.818	2.625	1.556	25.872	41.650	7.103	1.889	3.769	6.333	8.115	46.508	41.114	25.267	8.625	5.278	31.697	16.265	36.196
ABCA1	7.2020650371	2.76192349281	0.501	0.303	5.968	2.000	6.957	6.800	17.866	11.491	37.903	11.615	24.267	5.808	45.324	30.921	8.391	30.927	4.655	7.088	15.407	35.909	29.109	4.364	14.576	29.654	7.864
ABCA10	6.59706927102	2.21070056263	0.392	0.215	7.171	2.100	3.167	11.674	2.154	36.967	5.217	26.400	47.250	20.388	22.000	21.800	5.100	10.100	20.750	22.212	32.788	37.438	10.294	4.000	17.917	6.111	17.233
ABCA12	7.69269221093	2.96643046731	0.427	0.298	9.018	4.000	25.512	11.213	4.125	22.846	15.000	6.026	46.324	20.457	20.648	34.903	4.812	18.054	5.645	17.591	3.333	20.492	39.978	7.070	28.316	28.400	15.646
ABCA13	8.89492383993	3.92352953772	0.417	0.274	1.970	27.851	34.825	6.755	43.302	3.143	42.668	30.779	7.071	2.095	26.062	14.153	35.674	16.935	41.305	2.161	14.766	24.100	29.606	27.383	2.545	5.673	6.405
ABCA2	4.43889163207	2.89994898619	0.633	0.644	76.700	9.000	5.000	83.769	1.000	2.000	1.667	1.000	1.000	11.500	1.000	2.500	4.500	1.500	7.600	6.333	7.000	2.600	3.500	11.500	3.000	2.429	84.800
ABCA3	6.01945729374	2.35388783628	0.602	0.554	63.897	6.889	2.500	71.171	1.000	2.500	1.500	1.000	1.833	27.000	1.000	1.400	6.462	1.500	8.000	17.160	43.174	6.167	2.400	5.636	15.294	3.727	70.583
ABCA4	7.0035122903	2.76956018488	0.526	0.374	5.318	2.533	2.231	7.830	9.649	35.458	9.606	1.000	31.094	14.875	37.767	30.483	5.045	4.440	4.667	11.047	37.700	40.135	5.462	4.667	42.578	20.564	26.633
ABCA5	6.37065253762	2.30041662784	0.360	0.195	9.194	2.333	2.833	6.062	4.062	39.350	8.324	28.000	47.229	23.065	15.342	28.093	4.500	11.625	19.211	14.625	39.447	26.960	5.750	4.278	11.667	4.500	23.926
ABCA6	5.98114482863	2.27828217953	0.392	0.226	7.692	3.111	4.071	10.250	5.111	39.730	7.500	25.182	44.500	18.682	22.296	12.733	5.462	10.643	21.400	25.108	23.647	41.095	20.840	3.500	21.833	10.625	10.800
ABCA7	4.67067041047	2.68661257682	0.646	0.557	82.250	11.429	3.500	83.000	1.500	1.500	1.333	1.000	1.000	3.667	1.000	1.800	6.500	2.500	5.167	7.000	6.500	2.000	2.500	8.444	4.667	3.333	83.167
ABCA8	6.46116836461	2.28184659158	0.426	0.313	3.778	3.133	9.042	7.619	4.222	34.440	8.885	23.600	44.419	17.000	27.429	33.542	3.867	26.074	12.000	12.935	10.722	34.160	37.400	3.529	11.500	21.000	5.167
ABCA9	6.43235815907	2.28451413324	0.423	0.272	4.667	4.947	5.786	17.279	3.231	32.887	5.600	24.952	48.434	17.216	22.579	16.723	4.333	18.048	18.400	24.957	18.680	34.188	28.108	3.231	17.500	16.278	5.833
ABCB1	7.71053784017	2.017921908	0.445	0.339	7.282	2.882	6.587	9.482	3.222	22.563	19.344	21.457	41.160	30.479	16.000	41.185	5.768	37.110	7.257	8.590	28.577	32.260	14.039	5.743	9.091	19.333	6.182
ABCB10	5.3962280045	1.14665522212	0.564	0.655	32.385	5.750	1.667	41.733	1.000	11.095	1.000	2.000	18.895	41.611	1.000	1.333	7.000	6.167	6.333	39.840	32.500	13.833	3.200	6.000	42.300	21.071	22.500
ABCB11	6.76002129773	1.98659296731	0.454	0.295	5.786	2.000	5.458	25.059	4.211	8.400	2.000	9.593	47.615	16.491	25.298	2.500	4.000	29.351	5.500	58.731	17.067	33.850	29.511	2.769	14.889	34.000	6.357
ABCB4	6.20278990612	1.94785314339	0.452	0.370	11.176	3.600	2.429	5.000	1.500	36.250	7.647	18.760	37.837	36.667	10.516	19.515	7.895	37.440	7.333	25.237	36.520	29.885	10.955	5.000	9.071	19.133	8.235
ABCB5	7.14356688761	1.92523990549	0.422	0.400	7.324	2.867	32.000	9.553	5.219	7.220	37.171	39.352	38.264	27.882	21.191	19.630	24.119	10.522	41.262	3.500	2.667	13.848	42.833	7.259	2.286	2.500	6.500
ABCB6	3.20976526597	1.33685463913	0.583	0.504	50.857	5.500	2.500	58.400	1.000	1.000	4.000	1.000	4.500	38.500	1.000	4.500	5.000	2.000	7.000	27.286	23.500	3.667	2.000	6.667	39.333	14.000	36.667
ABCB7	6.6873546859	1.17568427073	0.444	0.399	1.455	31.841	45.225	14.912	18.712	16.463	22.185	36.524	17.434	2.455	27.818	42.513	3.222	12.625	42.275	2.846	1.400	3.167	17.731	29.129	1.500	2.636	5.174
ABCB8	4.27508156495	1.17248751551	0.625	0.504	32.500	4.500	3.500	75.889	1.000	1.333	2.500	1.000	18.500	41.333	2.000	2.000	4.000	2.500	5.167	14.000	28.000	19.000	4.500	5.000	29.750	13.667	48.000
ABCB9	5.50966417576	1.20789285164	0.619	0.542	68.053	8.125	2.667	76.789	2.000	1.444	1.000	1.500	1.000	19.071	1.000	2.000	7.923	3.000	8.929	11.800	11.333	3.000	2.500	7.000	18.667	4.200	63.357
ABCC1	7.59616738861	2.19943678356	0.565	0.548	30.747	4.667	3.423	33.886	1.889	7.246	3.714	1.385	15.500	47.259	1.200	2.667	5.700	3.567	7.571	48.543	38.418	11.000	2.625	5.818	36.740	13.000	38.578
ABCC10	4.51551061997	2.18681745936	0.611	0.341	74.000	12.000	3.833	37.818	1.000	5.500	3.333	1.000	1.000	12.571	1.308	1.500	5.500	2.000	7.000	46.667	34.250	6.000	2.500	7.500	29.900	7.500	52.750
ABCC11	6.09311644878	2.05172011645	0.524	0.376	7.714	4.500	5.667	8.043	2.000	49.095	3.308	1.000	48.000	32.333	9.240	22.486	5.706	6.091	7.400	11.962	11.733	44.471	28.500	3.455	37.667	26.862	21.821
ABCC12	5.99543929262	2.02750795683	0.506	0.392	6.000	1.600	14.214	7.136	1.000	44.829	3.846	1.000	52.182	19.947	20.208	33.450	4.500	9.545	5.500	6.087	5.143	30.696	44.267	2.545	35.654	29.478	19.000
ABCC2	6.12091175535	2.21256933885	0.474	0.280	42.312	5.900	2.500	22.268	1.000	32.951	4.941	1.571	9.000	42.094	1.429	5.875	4.231	6.111	8.077	30.244	13.176	4.000	2.000	9.111	34.531	9.067	41.781
ABCC3	5.82898693155	2.22094900447	0.580	0.381	38.941	5.500	2.000	44.828	1.600	10.214	3.333	1.000	7.929	45.087	1.000	1.000	6.556	2.545	7.111	34.920	15.833	2.500	2.333	7.500	10.444	4.400	74.611
ABCC4	8.13759573853	2.00611846138	0.446	0.469	9.583	2.452	15.055	19.458	4.400	36.351	4.156	12.762	41.007	25.832	23.274	9.920	5.682	27.688	6.176	29.613	18.020	28.614	28.686	5.184	15.594	31.746	8.937
ABCC5	6.61507783163	2.11902410314	0.514	0.426	15.128	2.500	2.500	22.500	2.333	17.348	2.167	1.400	35.327	43.000	3.167	1.333	5.318	3.778	6.333	52.887	41.394	23.409	2.500	4.625	41.744	15.121	32.089
ABCC6	6.20763910861	2.19755090742	0.606	0.377	17.241	2.545	2.833	30.167	2.500	4.500	5.111	1.000	30.294	48.024	1.500	3.714	10.633	4.600	7.500	47.395	38.192	17.722	2.533	5.750	39.536	12.696	35.529
ABCC8	6.39164744454	2.26663664251	0.578	0.474	6.625	3.000	2.500	10.483	3.000	43.279	3.133	1.000	48.030	24.529	16.864	8.971	3.000	3.833	6.929	30.919	40.818	31.783	4.895	4.917	39.903	15.750	32.459
ABCC9	7.12210323053	2.25761413005	0.430	0.331	2.562	14.842	49.190	8.419	59.293	22.421	17.195	30.175	1.667	1.000	21.567	39.823	8.974	22.967	13.000	6.765	1.500	2.389	22.152	24.611	10.922	12.829	10.810
ABCD1	4.31426147664	1.16027483141	0.648	0.592	21.500	17.200	4.500	59.750	18.250	5.750	5.429	1.500	5.000	18.750	19.167	3.000	3.833	2.500	7.500	22.182	32.000	7.500	2.500	6.400	28.167	7.400	51.600
ABCD2	6.10479791297	1.15055967658	0.421	0.276	6.143	3.083	2.923	7.625	5.966	5.842	19.129	26.037	46.240	24.795	19.576	20.190	44.875	38.033	7.133	4.462	19.941	44.357	18.800	5.250	7.500	17.318	5.375
ABCD3	6.64799079422	1.00072116724	0.417	0.571	2.400	4.045	3.067	10.756	18.425	13.535	17.833	2.000	19.152	2.308	54.655	50.460	4.286	7.720	6.286	3.458	45.681	10.864	2.000	6.167	40.967	30.085	13.837
ABCD4	4.15283240469	0.924479992359	0.565	0.443	13.778	4.000	2.500	13.700	1.000	9.545	6.429	1.000	26.300	54.556	1.000	4.000	8.444	3.500	7.333	56.462	42.833	20.500	3.333	4.000	44.900	21.000	24.200
ABCE1	4.97824139974	0.845590408848	0.389	0.416	15.000	4.778	13.643	5.500	4.444	23.900	25.263	40.250	34.250	29.357	12.364	32.833	4.875	30.071	14.500	7.000	8.000	27.556	38.826	5.333	2.444	7.231	4.167
ABCF1	4.33199177823	1.34198574723	0.536	0.430	78.500	10.000	2.000	58.000	1.000	5.333	2.667	1.000	1.000	10.200	1.000	2.500	5.200	3.500	9.500	25.900	30.500	5.000	1.500	7.500	24.571	7.500	54.167
ABCF2	4.28821088882	0.928275561612	0.514	0.360	31.833	2.500	2.333	41.250	1.500	7.000	2.500	1.000	17.429	45.846	1.000	2.000	7.167	2.500	6.333	40.000	43.900	17.800	1.500	4.429	37.600	13.500	39.700
ABCF3	2.98786654899	1.09356017616	0.566	0.549	20.500	3.400	1.667	43.333	1.000	8.333	3.500	1.000	30.200	43.167	2.500	3.000	7.000	3.500	6.000	35.167	44.000	9.500	2.500	5.500	33.500	9.000	47.667
ABCG1	6.60815870072	1.13093086983	0.570	0.590	44.073	6.167	3.750	5.783	2.273	28.700	8.357	1.500	8.074	39.231	2.625	43.280	6.917	3.100	6.385	6.773	34.640	23.522	7.667	5.462	34.931	11.250	43.483
ABCG2	7.14326075192	0.974529312484	0.430	0.363	6.895	3.147	4.353	8.585	4.645	8.565	37.045	2.263	48.671	19.684	19.627	37.082	7.810	4.833	8.679	3.188	37.365	11.000	2.300	7.172	37.871	20.150	26.582
ABCG4	3.76818432478	0.994941710177	0.581	0.434	63.000	10.500	2.667	51.286	1.000	4.333	2.500	1.000	1.000	24.833	1.000	1.000	4.000	2.000	8.000	35.400	28.000	3.000	2.000	7.000	24.000	6.000	59.167
ABCG5	4.71962155012	0.965691949225	0.517	0.552	10.636	1.500	2.500	18.200	1.500	30.500	1.000	1.000	42.333	37.083	7.444	3.500	3.000	2.667	7.500	45.077	28.000	44.900	7.571	5.200	41.000	20.800	26.692
ABCG8	5.30389031579	1.01364091067	0.568	0.449	14.000	2.714	2.500	14.870	1.000	32.308	3.889	1.333	39.600	38.667	5.222	2.429	4.111	3.429	7.100	43.667	24.385	47.133	8.333	4.500	43.167	24.000	21.267
ABHD1	2.81229284487	0.280956313831	0.565	0.304	60.000	7.333	3.000	59.000	2.000	3.500	1.667	1.000	5.500	25.143	1.000	3.000	6.500	3.500	7.500	26.167	42.500	8.500	2.400	5.500	19.500	5.500	63.500
ABHD10	3.85728435349	-0.0634091701761	0.462	0.492	15.200	2.500	2.333	14.000	1.000	6.000	35.556	42.833	42.111	34.556	6.000	23.500	19.111	30.000	13.333	3.000	50.500	16.500	2.000	5.000	2.500	5.800	4.500
ABHD11	1.47144761638	-0.0144995696951	0.622	0.587	32.750	4.500	3.000	48.500	1.000	4.000	2.333	1.000	12.333	49.500	1.000	2.500	6.500	4.000	7.500	36.200	23.500	3.000	2.000	7.000	14.000	6.200	68.000
ABHD12	6.5885647374	0.320773476946	0.551	0.718	36.462	4.136	2.300	26.741	1.250	14.100	3.267	1.333	22.900	30.925	4.417	4.810	7.522	4.750	8.278	44.085	34.722	6.833	1.556	5.200	17.250	6.333	62.975
ABHD12B	5.03610765927	0.119024103142	0.474	0.410	43.611	7.250	2.571	23.400	1.500	32.840	3.500	5.000	11.100	36.929	1.500	9.923	8.000	24.333	6.833	22.412	40.500	30.308	3.500	5.500	17.500	39.250	6.000
ABHD13	3.98559150666	0.0157829972409	0.383	0.298	3.500	22.818	40.500	12.800	50.667	19.857	22.900	22.375	7.500	2.000	14.000	15.667	20.857	26.727	6.714	8.500	1.000	7.333	32.833	15.500	12.143	20.857	11.333
ABHD14A	2.6264391367	-0.298672742587	0.624	0.395	73.250	9.500	3.000	59.800	1.000	3.000	8.286	2.000	1.000	15.500	1.000	1.000	6.000	3.000	6.500	24.333	23.000	5.500	2.600	5.500	27.833	4.400	55.833
ABHD14A-ACY1	3.82548037055	0.579180148127	0.597	0.353	74.500	9.286	3.000	62.111	1.000	2.500	7.875	1.500	1.000	14.500	1.000	1.000	6.000	3.500	6.500	23.000	23.000	5.000	2.429	5.333	27.778	4.600	55.900
ABHD14B	2.61376736814	-0.459972730742	0.644	0.333	71.500	9.800	2.667	56.000	1.000	3.000	7.429	2.000	1.000	16.500	1.000	1.000	6.500	2.667	6.667	26.400	23.500	6.000	2.600	5.600	29.800	4.500	54.571
ABHD15	2.66766509005	0.489542935642	0.672	0.751	61.000	5.500	3.500	59.875	1.000	5.333	3.500	1.000	3.500	28.333	1.000	3.500	6.333	2.500	4.000	21.286	25.500	8.500	3.000	5.000	38.000	16.714	37.500
ABHD16A	4.03667915423	0.872631791135	0.588	0.417	82.833	12.167	2.167	85.000	1.000	1.333	2.000	1.000	1.000	3.500	1.000	1.000	2.800	3.000	6.429	7.400	13.286	2.500	2.400	8.000	6.833	5.333	77.500
ABHD16B	0.828631581688	0.492622328574	0.701	0.880	52.000	7.500	4.000	73.800	1.500	4.000	1.500	2.000	5.500	32.400	1.000	1.500	5.500	4.000	9.000	14.000	16.000	4.000	3.500	9.500	14.667	4.500	66.333
ABHD17A	3.09491164703	0.115033242946	0.674	0.744	78.125	13.333	4.000	85.333	1.000	1.000	1.333	2.000	1.500	5.000	1.000	2.500	4.000	3.000	6.500	6.800	13.500	3.000	2.000	6.667	5.500	4.500	79.167
ABHD17B	5.60863185123	-0.171368418312	0.417	0.391	5.909	5.182	4.500	8.765	21.962	38.861	1.000	11.167	23.133	9.765	36.148	12.857	7.643	21.526	8.643	33.720	38.471	25.722	4.143	4.455	22.368	23.455	12.625
ABHD17C	5.91434925121	-0.0188780102057	0.631	0.973	7.375	2.500	36.867	4.600	1.833	31.000	3.615	1.500	52.115	22.714	14.261	30.852	5.750	5.333	7.100	24.000	8.500	12.500	28.667	9.750	34.217	18.048	33.579
ABHD18	6.21831620725	0.196607044095	0.411	0.351	24.714	4.625	4.235	32.878	3.000	13.575	5.000	5.267	18.588	38.000	12.143	2.286	4.824	10.211	5.909	42.577	39.688	7.833	2.500	8.474	32.613	22.750	24.111
ABHD2	6.8355577974	0.350497247084	0.530	0.480	20.533	3.950	3.000	53.174	1.000	3.350	2.615	1.545	25.163	49.155	1.333	2.588	4.500	3.462	7.500	33.924	38.857	27.350	5.045	4.100	36.909	11.190	39.627
ABHD3	5.75245424303	0.389566811763	0.460	0.404	43.061	6.364	3.857	40.889	5.059	8.737	5.077	3.111	11.300	28.933	5.615	2.167	4.917	10.667	8.100	38.844	20.786	4.500	3.500	6.125	29.241	15.579	35.136
ABHD4	3.81956600601	0.037030730945	0.552	0.487	75.000	7.500	3.500	16.750	2.000	23.556	2.333	1.000	1.000	14.200	1.000	2.000	5.000	5.333	7.200	51.538	40.500	9.667	3.000	5.400	39.143	32.500	15.000
ABHD5	4.99349322106	0.0662614422687	0.456	0.333	4.182	1.800	3.000	47.150	6.500	15.125	1.500	4.167	32.300	12.071	43.389	5.769	3.000	16.944	7.857	28.000	39.429	12.000	3.333	6.667	25.917	29.533	15.500
ABHD6	5.83882573987	0.0157829972409	0.514	0.344	52.435	5.333	3.500	43.263	1.400	7.412	1.000	1.500	7.615	31.500	1.500	3.778	7.300	4.462	7.190	37.278	29.231	4.250	2.500	6.000	39.400	8.500	40.000
ABHD8	3.50373035005	0.397255345594	0.642	0.701	80.167	7.600	3.500	74.000	1.000	1.500	1.500	1.500	1.000	11.000	1.000	2.333	8.000	1.500	8.667	12.800	11.000	2.500	2.000	8.500	8.333	5.000	75.167
ABI1	6.83910298492	0.655351828613	0.472	0.263	26.075	4.895	2.867	15.477	2.625	46.293	3.182	3.750	18.922	46.621	1.900	7.971	4.318	14.171	7.774	24.838	32.605	31.700	10.828	4.682	31.306	26.024	16.816
ABI2	6.69953775185	0.801572569464	0.483	0.337	31.455	6.458	3.333	26.017	1.429	13.365	3.800	2.500	16.304	40.046	5.857	6.846	6.742	8.640	7.913	45.676	42.262	13.774	2.000	8.926	35.111	19.769	27.087
ABI3	3.70032873733	0.134878054343	0.648	0.436	56.500	9.333	3.000	14.000	1.000	16.833	2.500	1.000	8.333	25.500	1.000	2.500	3.333	3.000	5.000	60.500	45.667	20.200	2.500	5.500	43.500	27.000	20.500
ABI3BP	7.93165942163	2.38736254084	0.465	0.343	6.945	2.179	3.778	8.900	7.343	46.510	4.038	41.329	41.983	12.890	35.974	29.157	4.791	28.526	14.176	9.791	28.116	44.084	12.297	3.722	2.926	10.250	4.167
ABL1	7.44124276687	1.81803247466	0.588	0.470	28.986	5.909	3.200	14.118	1.250	30.246	4.600	1.400	28.927	35.561	2.588	21.615	5.833	3.900	8.000	23.821	32.089	10.000	2.588	7.000	37.786	16.091	33.653
ABL2	7.02633531278	1.88596475675	0.519	0.273	10.800	3.050	2.727	20.667	1.857	25.908	3.905	1.947	45.641	24.857	14.889	5.880	4.348	9.269	6.600	40.066	38.714	10.355	2.333	6.828	36.731	29.804	15.537
ABLIM1	8.3972895777	1.3988975712	0.522	0.491	8.174	3.827	3.364	10.485	7.226	6.191	48.179	2.098	38.701	21.623	21.810	23.698	12.704	11.247	5.972	2.511	38.337	10.585	2.438	6.426	32.732	34.274	14.395
ABLIM2	7.59636122909	0.986956962524	0.584	0.574	14.189	2.500	3.741	9.380	2.619	41.124	6.191	3.538	37.365	24.264	21.585	28.367	4.947	3.000	5.967	12.439	30.016	4.080	1.778	6.619	28.700	10.286	50.853
ABLIM3	6.89472077215	1.10768786931	0.551	0.432	3.118	2.800	2.400	12.042	3.154	35.474	2.167	1.500	47.296	16.737	28.667	5.500	4.500	8.750	6.000	40.730	39.100	31.750	3.667	4.533	38.805	31.262	14.429
